PlayerID,FullName,FamilyName,GivenName,BirthDate,Position,MainTeam,TournamentsPlayed
P-02805,Théophile Abega,Abega,Théophile,1954-07-09,Mediocampista,Cameroon,1
P-85334,André Abegglen,Abegglen,André,1909-03-07,Delantero,Switzerland,2
P-99390,Abel,Abel,not applicable,1952-09-01,Defensa,Brazil,1
P-24945,Abelardo,Abelardo,not applicable,1970-03-19,Defensa,Spain,2
P-32023,Ramón Abeledo,Abeledo,Ramón,1937-04-29,Mediocampista,Argentina,1
P-00685,Anad Abid,Abid,Anad,1955-08-03,Delantero,Iraq,1
P-04469,Eric Abidal,Abidal,Eric,1979-09-11,Defensa,France,2
P-98382,Juan Carlos Ablanedo,Ablanedo,Juan Carlos,1963-09-02,Portero,Spain,2
P-22858,Attila Abonyi,Abonyi,Attila,1946-08-16,Delantero,Australia,1
P-53452,Vincent Aboubakar,Aboubakar,Vincent,1992-01-22,Delantero,Cameroon,3
P-48295,Zakaria Aboukhlal,Aboukhlal,Zakaria,2000-02-18,Mediocampista,Morocco,1
P-62807,Taher Abouzeid,Abouzeid,Taher,1962-04-10,Mediocampista,Egypt,1
P-04266,Henock Abrahamsson,Abrahamsson,Henock,1909-10-29,Portero,Sweden,1
P-64134,Rüdiger Abramczik,Abramczik,Rüdiger,1956-02-18,Delantero,West Germany,1
P-51300,Lahcen Abrami,Abrami,Lahcen,1969-12-31,Defensa,Morocco,1
P-91786,Marco Abreu,Abreu,Marco,1974-12-08,Defensa,Angola,1
P-64372,Sebastián Abreu,Abreu,Sebastián,1976-10-17,Delantero,Uruguay,2
P-12036,Acácio,Acácio,not applicable,1959-01-20,Portero,Brazil,1
P-13103,Eusebio Acasuzo,Acasuzo,Eusebio,1952-04-08,Portero,Peru,1
P-17067,Germán Aceros,Aceros,Germán,1938-09-30,Delantero,Colombia,1
P-75402,Danilo Aceval,Aceval,Danilo,1975-09-15,Portero,Paraguay,1
P-81409,David Acevedo,Acevedo,David,1937-02-20,Defensa,Argentina,1
P-48167,Eduardo Mario Acevedo,Acevedo,Eduardo Mario,1959-09-25,Defensa,Uruguay,1
P-28429,Elmer Acevedo,Acevedo,Elmer,1946-02-24,Delantero,El Salvador,1
P-01989,Alberto Achá,Achá,Alberto,1917-02-18,Defensa,Bolivia,1
P-29870,Gabriel Achilier,Achilier,Gabriel,1985-03-24,Defensa,Ecuador,1
P-17442,Ignacio Achúcarro,Achúcarro,Ignacio,1936-07-31,Defensa,Paraguay,1
P-67954,Jovan Aćimović,Aćimović,Jovan,1948-06-21,Mediocampista,Yugoslavia,1
P-44943,Milenko Ačimovič,Ačimovič,Milenko,1977-02-15,Delantero,Slovenia,1
P-65320,Jhonny Acosta,Acosta,Jhonny,1983-07-21,Defensa,Costa Rica,2
P-86410,Kellyn Acosta,Acosta,Kellyn,1995-07-24,Mediocampista,United States,1
P-63370,Afriyie Acquah,Acquah,Afriyie,1992-01-05,Mediocampista,Ghana,1
P-43934,Clarence Acuña,Acuña,Clarence,1975-02-08,Mediocampista,Chile,1
P-79480,Juan Acuña,Acuña,Juan,1923-01-11,Portero,Spain,1
P-73712,Marcos Acuña,Acuña,Marcos,1991-10-28,Defensa / Mediocampista,Argentina,2
P-17884,Roberto Acuña,Acuña,Roberto,1972-03-25,Mediocampista,Paraguay,3
P-21395,Glen Adam,Adam,Glen,1959-05-22,Defensa,New Zealand,1
P-26945,Stere Adamache,Adamache,Stere,1941-08-17,Portero,Romania,1
P-34289,Jozef Adamec,Adamec,Jozef,1942-02-26,Delantero,Czechoslovakia,2
P-92795,Ferdinand Adams,Adams,Ferdinand,1903-05-03,Delantero,Belgium,1
P-40630,Stephen Adams,Adams,Stephen,1989-09-28,Portero,Ghana,1
P-54003,Tony Adams,Adams,Tony,1966-10-10,Defensa,England,1
P-14151,Tyler Adams,Adams,Tyler,1999-02-14,Mediocampista,United States,1
P-70505,Jimmy Adamson,Adamson,Jimmy,1929-04-04,Mediocampista,England,1
P-56943,Adãozinho,Adãozinho,not applicable,1923-04-02,Delantero,Brazil,1
P-77757,Eric Addo,Addo,Eric,1978-11-12,Defensa,Ghana,1
P-23846,Otto Addo,Addo,Otto,1975-06-09,Delantero,Ghana,1
P-56284,Lee Addy,Addy,Lee,1985-09-26,Defensa,Ghana,1
P-48772,Emmanuel Adebayor,Adebayor,Emmanuel,1984-02-26,Delantero,Togo,1
P-55821,Sam Adekugbe,Adekugbe,Sam,1995-01-16,Defensa,Canada,1
P-03894,Adelardo,Adelardo,not applicable,1939-09-26,Mediocampista,Spain,2
P-42799,Dele Adeleye,Adeleye,Dele,1988-12-25,Defensa,Nigeria,1
P-49381,Ademir,Ademir,not applicable,1922-11-08,Delantero,Brazil,1
P-56969,Mutiu Adepoju,Adepoju,Mutiu,1970-12-22,Mediocampista,Nigeria,3
P-05901,Karim Adeyemi,Adeyemi,Karim,2002-01-18,Delantero,Germany,1
P-65216,Dominic Adiyiah,Adiyiah,Dominic,1989-11-29,Delantero,Ghana,1
P-17027,Sammy Adjei,Adjei,Sammy,1980-09-01,Portero,Ghana,1
P-47010,Ado,Ado,not applicable,1946-07-04,Portero,Brazil,1
P-67189,Albert Adomah,Adomah,Albert,1987-12-13,Mediocampista,Ghana,1
P-20372,Adriano,Adriano,not applicable,1982-02-17,Delantero,Brazil,1
P-47833,Luis Advíncula,Advíncula,Luis,1990-03-02,Defensa,Peru,1
P-32222,Michel Aebischer,Aebischer,Michel,1997-01-06,Mediocampista,Switzerland,1
P-80329,Georges Aeby,Aeby,Georges,1910-09-10,Delantero,Switzerland,1
P-40938,Paul Aeby,Aeby,Paul,1910-09-10,Delantero,Switzerland,1
P-81141,Ibrahim Afellay,Afellay,Ibrahim,1986-04-02,Mediocampista,Netherlands,1
P-05368,Harrison Afful,Afful,Harrison,1986-06-24,Defensa,Ghana,1
P-47319,Akram Afif,Afif,Akram,1996-11-18,Delantero,Qatar,1
P-55727,Rabiu Afolabi,Afolabi,Rabiu,1980-04-18,Defensa,Nigeria,2
P-76618,Valentin Afonin,Afonin,Valentin,1939-12-22,Defensa / Mediocampista,Soviet Union,2
P-00279,Afonsinho,Afonsinho,not applicable,1914-03-08,Mediocampista,Brazil,1
P-13639,Daniel Afriyie,Afriyie,Daniel,2001-06-26,Mediocampista,Ghana,1
P-30416,Kossi Agassa,Agassa,Kossi,1978-07-02,Portero,Togo,1
P-53035,Chigozie Agbim,Agbim,Chigozie,1984-11-28,Portero,Nigeria,1
P-68499,Hans Agbo,Agbo,Hans,1967-09-26,Defensa,Cameroon,1
P-08310,Kuami Agboh,Agboh,Kuami,1977-12-28,Mediocampista,Togo,1
P-77276,Wilfred Agbonavbare,Agbonavbare,Wilfred,1966-10-05,Portero,Nigeria,1
P-52264,Daniel Agger,Agger,Daniel,1984-12-12,Defensa,Denmark,1
P-74228,Julius Aghahowa,Aghahowa,Julius,1982-02-12,Delantero,Nigeria,1
P-72797,Jeff Agoos,Agoos,Jeff,1968-05-02,Defensa,United States,2
P-44105,Hamadi Agrebi,Agrebi,Hamadi,1951-03-20,Mediocampista,Tunisia,1
P-25342,Alloysius Agu,Agu,Alloysius,1967-07-12,Portero,Nigeria,1
P-77856,Rui Águas,Águas,Rui,1960-04-28,Delantero,Portugal,1
P-47490,Nayef Aguerd,Aguerd,Nayef,1996-03-30,Defensa,Morocco,1
P-17292,Juan Bautista Agüero,Agüero,Juan Bautista,1935-06-24,Delantero,Paraguay,1
P-36870,Sergio Agüero,Agüero,Sergio,1988-06-02,Delantero,Argentina,3
P-76705,Abel Aguilar,Aguilar,Abel,1985-01-06,Mediocampista,Colombia,2
P-01835,Paul Aguilar,Aguilar,Paul,1986-03-06,Defensa,Mexico,2
P-43460,Samuel Aguilar,Aguilar,Samuel,1933-03-16,Portero,Paraguay,1
P-44957,Brandon Aguilera,Aguilera,Brandon,2003-06-28,Mediocampista,Costa Rica,1
P-57189,Carlos Aguilera,Aguilera,Carlos,1964-09-21,Delantero,Uruguay,2
P-08700,Carlos Aguilera,Aguilera,Carlos,1969-05-22,Defensa,Spain,1
P-11212,Edgar Aguilera,Aguilera,Edgar,1975-07-28,Defensa,Paraguay,1
P-95800,Juan Aguilera,Aguilera,Juan,1903-10-23,Delantero,Chile,1
P-17727,Oscar Aguilera,Aguilera,Oscar,1935-03-11,Delantero,Paraguay,1
P-23101,Álex Aguinaga,Aguinaga,Álex,1968-07-09,Mediocampista,Ecuador,1
P-33814,Francisco Aguirre,Aguirre,Francisco,not available,Mediocampista,Paraguay,1
P-59792,Javier Aguirre,Aguirre,Javier,1958-12-01,Mediocampista,Mexico,1
P-79898,Daniel Agyei,Agyei,Daniel,1989-11-10,Portero,Ghana,1
P-89904,Emmanuel Agyemang-Badu,Agyemang-Badu,Emmanuel,1990-12-02,Mediocampista,Ghana,1
P-30429,Thomas Ahlström,Ahlström,Thomas,1952-07-17,Mediocampista,Sweden,1
P-38468,Olle Åhlund,Åhlund,Olle,1920-08-22,Mediocampista,Sweden,1
P-37948,Rahman Ahmadi,Ahmadi,Rahman,1980-07-30,Portero,Iran,1
P-91705,Ronald Åhman,Åhman,Ronald,1957-01-31,Mediocampista,Sweden,1
P-33804,Homam Ahmed,Ahmed,Homam,1999-08-25,Defensa,Qatar,1
P-27915,Issah Ahmed,Ahmed,Issah,1982-05-24,Defensa,Ghana,1
P-26616,Jung-hwan Ahn,Ahn,Jung-hwan,1976-01-27,Delantero,South Korea,3
P-29011,Stephen Ahorlu,Ahorlu,Stephen,1988-09-05,Portero,Ghana,1
P-34039,Sergio Ahumada,Ahumada,Sergio,1948-10-02,Delantero,Chile,1
P-09991,Joseph Aidoo,Aidoo,Joseph,1995-09-29,Defensa,Ghana,1
P-22801,Ernst Aigner,Aigner,Ernst,1966-10-31,Defensa,Austria,1
P-25906,Pablo Aimar,Aimar,Pablo,1979-11-03,Mediocampista,Argentina,2
P-35569,Jock Aird,Aird,Jock,1926-02-18,Defensa,Scotland,1
P-66972,Marco Airosa,Airosa,Marco,1984-08-06,Defensa,Angola,1
P-58822,Youssef Aït Bennasser,Aït Bennasser,Youssef,1996-07-07,Mediocampista,Morocco,1
P-08096,Roy Aitken,Aitken,Roy,1958-11-24,Defensa,Scotland,2
P-73175,Dele Aiyenugba,Aiyenugba,Dele,1983-11-20,Portero,Nigeria,1
P-48722,Kanga Akalé,Akalé,Kanga,1981-03-07,Mediocampista,Ivory Coast,1
P-23925,Manuel Akanji,Akanji,Manuel,1995-07-19,Defensa,Switzerland,2
P-64438,Nathan Aké,Aké,Nathan,1995-02-18,Defensa,Netherlands,1
P-41399,Kaçmaz Akgün,Akgün,Kaçmaz,1935-02-19,Defensa,Turkey,1
P-47488,Mohamed Akid,Akid,Mohamed,1949-07-05,Delantero,Tunisia,1
P-95453,Igor Akinfeev,Akinfeev,Igor,1986-04-08,Portero,Russia,2
P-34956,Yutaka Akita,Akita,Yutaka,1970-08-06,Defensa,Japan,2
P-01401,Eric Akoto,Akoto,Eric,1980-07-20,Defensa,Togo,1
P-42905,Jean-Daniel Akpa Akpro,Akpa Akpro,Jean-Daniel,1992-10-11,Defensa,Ivory Coast,1
P-83020,Daniel Akpeyi,Akpeyi,Daniel,1986-03-08,Portero,Nigeria,1
P-07482,Akwá,Akwá,not applicable,1977-05-30,Delantero,Angola,1
P-48288,Benedict Akwuegbu,Akwuegbu,Benedict,1974-11-03,Delantero,Nigeria,1
P-79130,Fatih Akyel,Akyel,Fatih,1977-12-26,Defensa,Turkey,1
P-76864,Nawaf Al-Abed,Al-Abed,Nawaf,1990-01-26,Mediocampista,Saudi Arabia,1
P-45581,Abdulrahman Al-Aboud,Al-Aboud,Abdulrahman,1995-06-01,Delantero,Saudi Arabia,1
P-12335,Abdulelah Al-Amri,Al-Amri,Abdulelah,1997-01-15,Defensa,Saudi Arabia,1
P-22789,Awad Al-Anazi,Al-Anazi,Awad,1968-09-24,Defensa,Saudi Arabia,1
P-88607,Abdulaziz Al-Anberi,Al-Anberi,Abdulaziz,1954-01-03,Delantero,Kuwait,1
P-45367,Tisir Al-Antaif,Al-Antaif,Tisir,1974-02-16,Portero,Saudi Arabia,1
P-67035,Nawaf Al-Aqidi,Al-Aqidi,Nawaf,2000-05-10,Portero,Saudi Arabia,1
P-58952,Ahmed Al-Bahri,Al-Bahri,Ahmed,1980-09-18,Defensa,Saudi Arabia,1
P-23379,Fahad Al-Bishi,Al-Bishi,Fahad,1965-09-10,Mediocampista,Saudi Arabia,1
P-60833,Mohamed Al-Bishi,Al-Bishi,Mohamed,1987-05-03,Defensa,Saudi Arabia,1
P-94422,Mohammed Al-Breik,Al-Breik,Mohammed,1992-09-15,Defensa,Saudi Arabia,2
P-87284,Ali Al-Bulaihi,Al-Bulaihi,Ali,1989-11-21,Defensa,Saudi Arabia,2
P-51432,Abdulaziz Al-Buloushi,Al-Buloushi,Abdulaziz,1962-12-04,Delantero,Kuwait,1
P-49203,Abdullah Al-Buloushi,Al-Buloushi,Abdullah,1960-02-16,Delantero,Kuwait,1
P-89845,Firas Al-Buraikan,Al-Buraikan,Firas,2000-05-14,Delantero,Saudi Arabia,1
P-33410,Faisal Al-Dakhil,Al-Dakhil,Faisal,1957-08-13,Delantero,Kuwait,1
P-77098,Saleh Al-Dawod,Al-Dawod,Saleh,1968-09-24,Defensa,Saudi Arabia,1
P-10907,Nasser Al-Dawsari,Al-Dawsari,Nasser,1998-12-19,Mediocampista,Saudi Arabia,1
P-70583,Salem Al-Dawsari,Al-Dawsari,Salem,1991-08-19,Mediocampista / Delantero,Saudi Arabia,2
P-12996,Mohamed Al-Deayea,Al-Deayea,Mohamed,1972-08-02,Portero,Saudi Arabia,4
P-53448,Ahmed Al-Dokhi,Al-Dokhi,Ahmed,1976-10-25,Defensa,Saudi Arabia,3
P-60332,Abdullah Al-Dosari,Al-Dosari,Abdullah,1969-11-01,Defensa,Saudi Arabia,1
P-17941,Khamis Al-Dosari,Al-Dosari,Khamis,1973-09-08,Mediocampista,Saudi Arabia,2
P-85019,Obeid Al-Dosari,Al-Dosari,Obeid,1975-10-02,Delantero,Saudi Arabia,2
P-93688,Salman Al-Faraj,Al-Faraj,Salman,1989-08-01,Mediocampista,Saudi Arabia,2
P-00585,Omar Al-Ghamdi,Al-Ghamdi,Omar,1979-04-11,Mediocampista,Saudi Arabia,2
P-90719,Nassir Al-Ghanim,Al-Ghanim,Nassir,1961-04-04,Mediocampista,Kuwait,1
P-06789,Sultan Al-Ghannam,Al-Ghannam,Sultan,1994-05-06,Defensa,Saudi Arabia,1
P-39267,Fahad Al-Ghesheyan,Al-Ghesheyan,Fahad,1973-08-01,Delantero,Saudi Arabia,1
P-17103,Abdulrahman Al-Haddad,Al-Haddad,Abdulrahman,1966-03-23,Defensa,United Arab Emirates,1
P-32314,Muayad Al-Haddad,Al-Haddad,Muayad,1960-01-01,Delantero,Kuwait,1
P-93316,Naif Al-Hadhrami,Al-Hadhrami,Naif,2001-07-18,Mediocampista,Qatar,1
P-43921,Salem Al-Hajri,Al-Hajri,Salem,1996-04-10,Mediocampista,Qatar,1
P-81321,Ibrahim Al-Harbi,Al-Harbi,Ibrahim,1975-07-10,Mediocampista,Saudi Arabia,1
P-91707,Mansoor Al-Harbi,Al-Harbi,Mansoor,1987-10-19,Defensa,Saudi Arabia,1
P-16522,Mohsin Al-Harthi,Al-Harthi,Mohsin,1976-07-17,Defensa,Saudi Arabia,1
P-88984,Saad Al-Harthi,Al-Harthi,Saad,1984-02-03,Delantero,Saudi Arabia,1
P-08051,Sami Al-Hashash,Al-Hashash,Sami,1959-09-15,Defensa,Kuwait,1
P-45413,Ali Al-Hassan,Al-Hassan,Ali,1997-03-04,Mediocampista,Saudi Arabia,1
P-38732,Hassan Al-Haydos,Al-Haydos,Hassan,1990-12-11,Mediocampista,Qatar,1
P-36914,Ibrahim Al-Helwah,Al-Helwah,Ibrahim,1972-08-18,Portero,Saudi Arabia,1
P-90628,Saad Al-Houti,Al-Houti,Saad,1954-05-24,Mediocampista,Kuwait,1
P-88041,Sami Al-Jaber,Al-Jaber,Sami,1972-12-11,Delantero,Saudi Arabia,4
P-55518,Mohammed Al-Jahani,Al-Jahani,Mohammed,1974-09-28,Defensa,Saudi Arabia,2
P-28313,Abdulaziz Al-Janoubi,Al-Janoubi,Abdulaziz,1974-07-21,Defensa,Saudi Arabia,1
P-68738,Waleed Al-Jasem,Al-Jasem,Waleed,1959-11-18,Defensa,Kuwait,1
P-66636,Taisir Al-Jassim,Al-Jassim,Taisir,1984-07-25,Mediocampista,Saudi Arabia,1
P-26868,Abdullah Al-Jumaan,Al-Jumaan,Abdullah,1977-11-10,Delantero,Saudi Arabia,1
P-82537,Abdullah Al-Khaibari,Al-Khaibari,Abdullah,1996-08-16,Mediocampista,Saudi Arabia,1
P-04434,Abdulmalek Al-Khaibri,Al-Khaibri,Abdulmalek,1986-03-13,Mediocampista,Saudi Arabia,1
P-76946,Abdulaziz Al-Khathran,Al-Khathran,Abdulaziz,1973-07-31,Defensa / Mediocampista,Saudi Arabia,2
P-44462,Mohammed Al-Khilaiwi,Al-Khilaiwi,Mohammed,1971-08-21,Defensa,Saudi Arabia,2
P-29107,Mohammed Al-Khojali,Al-Khojali,Mohammed,1973-01-15,Portero,Saudi Arabia,1
P-20216,Abdulellah Al-Malki,Al-Malki,Abdulellah,1994-10-11,Mediocampista,Saudi Arabia,1
P-61496,Abdullah Al-Mayouf,Al-Mayouf,Abdullah,1987-01-23,Portero,Saudi Arabia,1
P-89920,Fahad Al-Mehallel,Al-Mehallel,Fahad,1970-11-11,Delantero,Saudi Arabia,2
P-77853,Housain Al-Mogahwi,Al-Mogahwi,Housain,1988-03-24,Mediocampista,Saudi Arabia,1
P-48279,Hamad Al-Montashari,Al-Montashari,Hamad,1982-06-22,Defensa,Saudi Arabia,1
P-40442,Yasser Al-Mosailem,Al-Mosailem,Yasser,1984-02-27,Portero,Saudi Arabia,1
P-24301,Fahad Al-Muwallad,Al-Muwallad,Fahad,1994-09-14,Delantero,Saudi Arabia,1
P-78753,Khalid Al-Muwallid,Al-Muwallid,Khalid,1971-11-23,Mediocampista,Saudi Arabia,2
P-87569,Sami Al-Najei,Al-Najei,Sami,1997-02-07,Mediocampista,Saudi Arabia,1
P-41428,Saeed Al-Owairan,Al-Owairan,Saeed,1967-08-19,Mediocampista / Delantero,Saudi Arabia,2
P-85438,Mohammed Al-Owais,Al-Owais,Mohammed,1991-10-10,Portero,Saudi Arabia,2
P-15273,Jamal Al-Qabendi,Al-Qabendi,Jamal,1959-04-07,Defensa,Kuwait,1
P-84226,Naif Al-Qadi,Al-Qadi,Naif,1979-04-03,Defensa,Saudi Arabia,1
P-87114,Yasser Al-Qahtani,Al-Qahtani,Yasser,1982-10-10,Delantero,Saudi Arabia,1
P-15161,Bassam Al-Rawi,Al-Rawi,Bassam,1997-12-16,Defensa,Qatar,1
P-06659,Mohammed Al-Rubaie,Al-Rubaie,Mohammed,1997-08-14,Portero,Saudi Arabia,1
P-43829,Hussein Al-Sadiq,Al-Sadiq,Hussein,1973-10-15,Portero,Saudi Arabia,2
P-83734,Mohammad Al-Sahlawi,Al-Sahlawi,Mohammad,1987-01-10,Delantero,Saudi Arabia,1
P-92151,Ibrahim Al-Shahrani,Al-Shahrani,Ibrahim,1974-07-21,Mediocampista / Delantero,Saudi Arabia,2
P-45457,Yasser Al-Shahrani,Al-Shahrani,Yasser,1992-05-25,Defensa,Saudi Arabia,2
P-11262,Mohammad Al-Shalhoub,Al-Shalhoub,Mohammad,1980-12-08,Mediocampista,Saudi Arabia,2
P-70879,Saad Al-Sheeb,Al-Sheeb,Saad,1990-02-19,Portero,Qatar,1
P-48349,Fouzi Al-Shehri,Al-Shehri,Fouzi,1980-05-15,Defensa,Saudi Arabia,1
P-37308,Saleh Al-Shehri,Al-Shehri,Saleh,1993-11-01,Delantero,Saudi Arabia,1
P-23568,Yahya Al-Shehri,Al-Shehri,Yahya,1990-06-26,Mediocampista,Saudi Arabia,1
P-61662,Hamoud Al-Shemmari,Al-Shemmari,Hamoud,1960-09-26,Defensa,Kuwait,1
P-88598,Yussef Al-Suwayed,Al-Suwayed,Yussef,1958-09-20,Mediocampista,Kuwait,1
P-02755,Yassir Al-Taifi,Al-Taifi,Yassir,1971-05-10,Defensa,Saudi Arabia,1
P-11032,Adnan Al-Talyani,Al-Talyani,Adnan,1964-10-30,Delantero,United Arab Emirates,1
P-93173,Hassan Al-Tambakti,Al-Tambakti,Hassan,1999-02-09,Defensa,Saudi Arabia,1
P-21692,Ahmed Al-Tarabulsi,Al-Tarabulsi,Ahmed,1947-03-22,Portero,Kuwait,1
P-20886,Nawaf Al-Temyat,Al-Temyat,Nawaf,1976-06-28,Mediocampista,Saudi Arabia,3
P-12568,Mansour Al-Thagafi,Al-Thagafi,Mansour,1979-01-14,Defensa,Saudi Arabia,1
P-30161,Yousuf Al-Thunayan,Al-Thunayan,Yousuf,1963-11-18,Mediocampista,Saudi Arabia,1
P-75813,Abdullah Al-Waked,Al-Waked,Abdullah,1975-09-29,Mediocampista,Saudi Arabia,1
P-00683,Al Hasan Al-Yami,Al-Yami,Al Hasan,1972-08-21,Delantero,Saudi Arabia,1
P-57100,Ahmed Alaaeldin,Alaaeldin,Ahmed,1993-01-31,Delantero,Qatar,1
P-30493,Stefan Aladzhov,Aladzhov,Stefan,1947-10-18,Defensa,Bulgaria,2
P-50217,Ahmed Alaoui,Alaoui,Ahmed,1949-01-01,Delantero,Morocco,1
P-62567,Zakaria Alaoui,Alaoui,Zakaria,1966-06-17,Portero,Morocco,1
P-01416,Jordi Alba,Alba,Jordi,1989-03-21,Defensa,Spain,3
P-32516,Ernesto Albarracín,Albarracín,Ernesto,1907-09-25,Mediocampista,Argentina,1
P-21683,David Albelda,Albelda,David,1977-09-01,Mediocampista,Spain,2
P-21188,Flórián Albert,Albert,Flórián,1941-09-15,Mediocampista / Delantero,Hungary,2
P-43307,Philippe Albert,Albert,Philippe,1967-08-10,Defensa,Belgium,2
P-87231,Demetrio Albertini,Albertini,Demetrio,1971-08-23,Mediocampista,Italy,2
P-25829,Carlos Alberto,Alberto,Carlos,1944-07-17,Defensa,Brazil,1
P-70569,Julio Alberto,Alberto,Julio,1958-10-07,Defensa,Spain,1
P-73673,Enrico Albertosi,Albertosi,Enrico,1939-11-02,Portero,Italy,4
P-24647,Raúl Albiol,Albiol,Raúl,1985-09-04,Defensa,Spain,2
P-39517,Arthur Albiston,Albiston,Arthur,1957-07-14,Defensa,Scotland,1
P-75764,Miiko Albornoz,Albornoz,Miiko,1990-11-30,Defensa,Chile,1
P-43807,Mario Alborta,Alborta,Mario,1910-09-19,Delantero,Bolivia,1
P-82536,Ernst Albrecht,Albrecht,Ernst,1907-11-12,Mediocampista,Germany,1
P-06647,Milan Albrecht,Albrecht,Milan,1950-07-16,Delantero,Czechoslovakia,1
P-27099,Rafael Albrecht,Albrecht,Rafael,1941-08-23,Defensa / Mediocampista,Argentina,2
P-59999,Chris Albright,Albright,Chris,1979-01-14,Defensa,United States,1
P-76189,Gheorghe Albu,Albu,Gheorghe,1909-09-12,Defensa,Romania,1
P-87859,Antolín Alcaraz,Alcaraz,Antolín,1982-07-30,Defensa,Paraguay,1
P-34547,Francisco Alcaraz,Alcaraz,Francisco,1960-10-04,Delantero,Paraguay,1
P-09225,Joseph Alcazar,Alcazar,Joseph,1911-06-15,Delantero,France,1
P-66524,Alcindo,Alcindo,not applicable,1945-12-16,Delantero,Brazil,1
P-56505,Aldair,Aldair,not applicable,1965-11-30,Defensa,Brazil,3
P-70547,Toby Alderweireld,Alderweireld,Toby,1989-03-02,Defensa,Belgium,3
P-42603,John Aldridge,Aldridge,John,1958-09-18,Delantero,Republic of Ireland,2
P-86677,Sergei Aleinikov,Aleinikov,Sergei,1961-11-07,Mediocampista,Soviet Union,2
P-80210,Juan Manuel Alejandrez,Alejandrez,Juan Manuel,1944-05-17,Defensa,Mexico,1
P-96679,Petar Aleksandrov,Aleksandrov,Petar,1962-12-07,Delantero,Bulgaria,1
P-76896,Alemão,Alemão,not applicable,1961-11-22,Mediocampista,Brazil,2
P-82861,Ahmad Alenemeh,Alenemeh,Ahmad,1982-10-10,Defensa,Iran,1
P-51792,Dmitri Alenichev,Alenichev,Dmitri,1972-10-20,Mediocampista,Russia,1
P-05318,Trent Alexander-Arnold,Alexander-Arnold,Trent,1998-10-07,Defensa,England,2
P-42808,Niclas Alexandersson,Alexandersson,Niclas,1971-12-29,Mediocampista,Sweden,2
P-80966,Alexis Alexandris,Alexandris,Alexis,1968-10-21,Delantero,Greece,1
P-22433,José Ramón Alexanko,Alexanko,José Ramón,1956-05-19,Defensa,Spain,1
P-20597,Alexis Alexiou,Alexiou,Alexis,1963-09-08,Defensa,Greece,1
P-98623,Alexis Alexoudis,Alexoudis,Alexis,1972-06-20,Delantero,Greece,1
